aaa	Ghotuo
mum	Maiwala
muo	Mubako
mup	Malvi
muq	Eastern Xiangxi Miao
mur	Murle
mus	Muskogee
mut	Western Muria
muu	Yaaku
muv	Muthuvan
mux	Bo-Ung
muy	Muyang
muz	Mursi
mva	Manam
mvb	Mattole
mvd	Mamboru
mve	Marwari
mvf	Peripheral Mongolian
mvg	Yucuañe Mixtec
mvh	Mulgi
mvi	Miyako
mvk	Mekmek
mvl	Mbara
mvn	Minaveha
mvo	Marovo
mvp	Duri
mvq	Moere
mvr	Marau
mvs	Massep
mvt	Mpotovoro
mvu	Marfa
mvv	Tahol Murut
mvw	Machinga
mvx	Meoswar
mvy	Indus Kohistani
mvz	Mesqan
mwa	Mwatebu
mwb	Juwar
mwc	Are
mwe	Mwera
mwf	Murrinh-Patha
mwg	Aiklep
mwh	Mouk-Aria
mwi	Ninde
mwk	Kita Maninkakan
mwl	Mirandese
mwm	Sar
mwn	Nyamwanga
mwo	Central Maewo
mwp	Kala Lagaw Ya
mwq	Müün Chin
mws	Mwimbi-Muthambi
mwt	Moken
mwu	Mittu
mwv	Mentawai
mww	Hmong Daw
mwz	Moingi
mxa	Northwest Oaxaca Mixtec
mxb	Tezoatlán Mixtec
mxc	Manyika
mxd	Modang
mxe	Mele-Fila
mxf	Malgbe
mxg	Mbangala
mxh	Mvuba
mxj	Miju-Mishmi
mxk	Monumbo
mxl	Maxi Gbe
mxm	Meramera
mxn	Moi Kelim
mxo	Mbowe
mxp	Tlahuitoltepec Mixe
mxq	Juquila Mixe
mxr	Murik
mxs	Huitepec Mixtec
mxt	Jamiltepec Mixtec
mxu	Mada
mxv	Metlatónoc Mixtec
mxw	Namo
mxx	Mahou
mxy	Southeastern Nochixtlán Mixtec
mxz	Central Masela
mya	Burmese
myb	Mbay
myc	Mayeka
mye	Myene
myf	Mawes Aasse
myg	Manta
myh	Makah
myj	Mangayat
myk	Mamara Sénoufo
myl	Moma
mym	Me’en
myo	Anfillo
myp	Pirahã
myr	Muniche
mys	Mesmes
myu	Mundurukú
myv	Erzya
myw	Muyuw
myx	Masaaba
myy	Macuna
myz	Classical Mandaic
mza	Santa María Zacatepec Mixtec
mzb	Tumzabt
mzc	Malagasy Sign Language
mzd	Mulimba
mze	Morawa
mzh	Pilcomayo Wichí
mzi	Ixcatlán Mazatec
mzj	Manya
mzk	Nigeria Mambila
mzl	Mazatlán Mixe
mzm	Mumuye
mzn	Mazandarani
mzo	Matipuhy
mzp	Movima
mzq	Mori Atas
mzr	Marubo
mzs	Macanese
mzt	Mintil
mzu	Inapang
mzv	Mandja
mzw	Deg
mzx	Mawayana
mzy	Mozambican Sign Language
mzz	Maiadomu
naa	Namla
nab	Southern Nambikuára
nac	Narak
nae	Naka’ela
naf	Nabak
nag	Nagamese
naj	Nalu
nak	Nakanai
nal	Nalik
nam	Ngan’gityemerri
nan	Min Nan Chinese
nao	Naaba
nap	Napoletano
naq	Khoekhoe
nar	Iguta
nas	Naasioi
nat	Cahungwarya
nau	Nauruan
nav	Navajo
naw	Nawuri
nax	Nakwi
nay	Ngarrindjeri
naz	Coatepec Nahuatl
nba	Nyemba
nbb	Ndoe
nbc	Chang Naga
nbd	Ngbinda
nbe	Konyak Naga
nbg	Nagarchal
nbh	Ngamo
nbi	Mao Naga
nbj	Ngarinyman
nbk	Nake
nbl	Ndebele
nbm	Ngbaka Ma’bo
nbn	Kuri
nbo	Nkukoli
nbp	Nnam
nbq	Nggem
nbr	Numana
nbs	Namibian Sign Language
nbt	Na
nbu	Rongmei Naga
nbv	Ngamambo
nbw	Southern Ngbandi
nby	Ningera
nca	Iyo
ncb	Central Nicobarese
ncc	Ponam
ncd	Nachiring
nce	Yale
ncf	Notsi
ncg	Nisga’a
nch	Central Huasteca Nahuatl
ncj	Northern Puebla Nahuatl
nck	Na-kara
ncl	Michoacán Nahuatl
ncm	Nambo
ncn	Neherneh
nco	Sibe
ncq	Northern Katang
ncr	Nchane
ncs	Nicaraguan Sign Language
nct	Chothe Naga
ncu	Chumburung
ncx	Central Puebla Nahuatl
ncz	Natchez
nda	Ndasa
ndb	Kenswei Nsei
ndc	Ndau
ndd	Nde-Nsele-Nta
nde	Ndebele
ndg	Ndengereko
ndh	Ndali
ndi	Samba Leko
ndj	Ndamba
ndk	Ndaka
ndl	Ndolo
ndm	Ndam
ndn	Ngundi
ndo	Ndonga
ndp	Kebu
ndq	Ndombe
ndr	Ndoola
nds	Low Saxon
ndt	Ndunga
ndu	Dugun
ndv	Ndut
ndw	Ndobo
ndx	Nduga
ndy	Luto
ndz	Ndogo
nea	Eastern Ngad’a
neb	Toura
nec	Nedebang
ned	Nde-Gbite
nee	Nêlêmwa-Nixumwak
nef	Nefamese
neg	Negidal
neh	Nyenkha
nej	Neko
nek	Neku
nem	Nemi
nen	Nengone
neo	Ná-Meo
neq	North Central Mixe
ner	Yahadian
nes	Bhoti Kinnauri
net	Nete
nev	Nyaheun
new	Newar
nex	Neme
ney	Neyo
nez	Nez Perce
nfa	Dhao
nfd	Ahwai
nfl	Äiwoo
nfr	Nafaanra
nfu	Mfumte
nga	Ngbaka
ngb	Northern Ngbandi
ngc	Ngombe
ngd	Ngando
nge	Ngemba
ngg	Ngbaka Manza
ngh	Nǁng
ngi	Ngizim
ngj	Ngie
ngk	Dalabon
ngl	Lomwe
ngm	Ngatik Men’s Creole
ngn	Ngwo
ngp	Ngulu
ngq	Ngoreme
ngr	Engdewu
ngs	Gvoko
ngt	Kriang
ngu	Guerrero Nahuatl
ngv	Nagumi
ngw	Ngwaba
ngx	Nggwahyi
ngy	Tibea
ngz	Ngungwel
nha	Nhanda
nhb	Beng
nhc	Tabasco Nahuatl
nhd	Ava Guaraní
nhe	Eastern Huasteca Nahuatl
nhf	Nhuwala
nhg	Tetelcingo Nahuatl
nhh	Nahari
nhi	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl
nhk	Isthmus-Cosoleacaque Nahuatl
nhm	Morelos Nahuatl
nhn	Central Nahuatl
nho	Takuu
nhp	Isthmus-Pajapan Nahuatl
nhq	Huaxcaleca Nahuatl
nhr	Naro
nht	Ometepec Nahuatl
nhu	Noone
nhv	Temascaltepec Nahuatl
nhw	Western Huasteca Nahuatl
nhx	Isthmus-Mecayapan Nahuatl
nhy	Northern Oaxaca Nahuatl
nhz	Santa María la Alta Nahuatl
nia	Nias
nib	Nakame
nid	Ngandi
nie	Niellim
nif	Nek
nig	Ngalakgan
nih	Nyiha
nii	Nii
nij	Ngaju
nik	Southern Nicobarese
nil	Nila
nim	Nilamba
nin	Ninzo
nio	Nganasan
niq	Nandi
nir	Nimboran
nis	Sama
nit	Southeastern Kolami
niu	Niue
niv	Gilyak
niw	Nimo
nix	Hema
niy	Ngiti
niz	Ningil
nja	Nzanyi
njb	Nocte Naga
njd	Ndonde Hamba
njh	Lotha Naga
nji	Gudanji
njj	Njen
njl	Njalgulgule
njm	Angami Naga
njn	Liangmai Naga
njo	Ao Naga
njr	Njerep
njs	Nisa
njt	Ndyuka-Trio Pidgin
nju	Ngadjunmaya
njx	Kunyi
njy	Njyem
njz	Nyishi
nka	Nkoya
nkb	Khoibu Naga
nkc	Nkongho
nkd	Koireng
nke	Dughore
nkf	Inpui Naga
nkg	Nekgini
nkh	Khezha Naga
nki	Thangal Naga
nkj	Nakai
nkk	Tanokuku
nkm	Namat
nkn	Nkangala
nko	Nkonya
nkp	Niuatoputapu
nkq	Nkami
nkr	Nukuoro
nks	North Asmat
nkt	Tanzania Nyika
nku	Bouna Kulango
nkv	Nyika
nkw	Nkutu
nkx	Nkoroo
nkz	Nkari
nla	Ngombale
nlc	Nalca
nld	Dutch
nle	Nyala
nlg	Gela
nli	Grangali
nlj	Nyali
nlk	Ninia Yali
nll	Nihali
nlm	Mankiyali
nlo	Ngwii
nlq	Lao Naga
nlu	Nchumbulu
nlv	Orizaba Nahuatl
nlw	Walangama
nlx	Nahali
nly	Nyamal
nlz	Nalögo
nma	Maram Naga
nmb	V’ënen Taut
nmc	Ngam
nmd	Ndumu
nme	Mzieme Naga
nmf	Tangkhul Naga
nmg	Kwasio
nmh	Monsang Naga
nmi	Nyam
nmj	Ngombe
nmk	Namakura
nml	Ndemli
nmm	Nyeshangte
nmn	Taa
nmo	Moyon Naga
nmp	Nimanbur
nmq	Nambya
nmr	Nimbari
nms	Letemboi
nmt	Namonuito
nmu	Northeast Maidu
nmv	Ngamini
nmw	Rifao
nmx	Nama
nmy	Namuyi
nmz	Nawdm
nna	Nyangumarta
nnb	Nande
nnc	Nancere
nnd	West Ambae
nne	Ngandjera
nnf	Ngaing
nng	Maring Naga
nnh	Ngiemboon
nni	North Nuaulu
nnj	Nyangatom
nnk	Nankina
nnl	Northern Rengma Naga
nnm	Namia
nnn	Ngete
nnp	Wancho Naga
nnq	Ngindo
nnr	Narungga
nnt	Nanticoke
nnu	Dwang
nnv	Nugunu
nnw	Southern Nuni
nny	Nyangga
nnz	Nda’nda’
noa	Woun Meu
noc	Nuk
nod	Northern Thai
noe	Nimadi
nof	Nomane
nog	Nogai
noh	Nomu
noi	Noiri
noj	Nonuya
nok	Nooksack
nol	Nomlaki
nop	Numanggang
noq	Ngongo
nor	Norwegian
nos	Eastern Nisu
not	Nomatsigenga
nou	Ewage-Notu
now	Nyambo
noy	Noy
noz	Nayi
npa	Nar Phu
npb	Nupbikha
npg	Ponyo-Gongwang Naga
nph	Phom Naga
npi	Nepali
npl	Southeastern Puebla Nahuatl
npn	Mondropolon
npo	Pochuri Naga
nps	Nipsan
npu	Puimei Naga
npx	Noipä
npy	Napu
nqg	Southern Nago
nqk	Kura Ede Nago
nql	Ngendelengo
nqm	Ndom
nqn	Nen
nqo	N’Ko
nqq	Chen-Kayu Naga
nqt	Nteng
nqy	Akyaung Ari Naga
nra	Ngom
nrb	Nara
nre	Southern Rengma Naga
nrf	Jèrriais
nrg	Varsaf
nri	Chokri Naga
nrk	Ngarla
nrl	Ngarluma
nrm	Narom
nrn	Norn
nrr	Nora
nrt	Northern Kalapuya
nru	Narua
nrx	Ngurmbur
nrz	Lala
nsa	Sangtam Naga
nsb	Lower Nossob
nsd	Southern Nisu
nse	Nsenga
nsf	Northwestern Nisu
nsg	Ngasa
nsh	Ngoshie
nsi	Nigerian Sign Language
nsk	Naskapi
nsl	Norwegian Sign Language
nsm	Sumi Naga
nsn	Nehan
nso	Northern Sotho
nsp	Nepalese Sign Language
nsq	Northern Sierra Miwok
nsr	Maritime Sign Language
nss	Nali
nst	Tangshang Naga
nsu	Sierra Negra Nahuatl
nsv	Southwestern Nisu
nsw	Balen
nsx	Songo
nsy	Nasal
nsz	Nisenan
ntd	Northern Tidung
nte	Nathembo
ntg	Ngantangarra
nti	Natioro
ntj	Ngaanyatjarra
ntk	Ikoma-Nata-Isenye
ntm	Nateni
nto	Ntomba
ntp	Northern Tepehuan
ntr	Delo
ntu	Natügu
ntw	Nottoway
ntx	Tangkhul Naga
nty	Mantsi
ntz	Natanzi
nua	Yuanga
nuc	Nukuini
nud	Gala
nue	Ngundu
nuf	Nusu
nug	Nungali
nuh	Ndunda
nui	Kombe
nuj	Nyole
nuk	Nuu-chah-nulth
nul	Nusa Laut
num	Niuafo’ou
nun	Anong
nuo	Nguôn
nup	Nupe-Nupe-Tako
nuq	Nukumanu
nur	Nukeria
nus	Nuer
nut	Nung
nuu	Ngbundu
nuv	Northern Nuni
nuw	Nguluwan
nux	Mehek
nuy	Nunggubuyu
nuz	Tlamacazapa Nahuatl
nvh	Nasarian
nvm	Namiae
nvo	Nyokon
nwa	Nawathinehena
nwb	Nyabwa
nwe	Ngwe
nwg	Ngayawung
nwi	Southwest Tanna
nwm	Nyamusa-Molo
nwo	Nauo
nwr	Nawaru
nww	Ndwewe
nwy	Nottoway-Meherrin
nxa	Nauete
nxd	Ngando
nxe	Nage
nxg	Ngad’a
nxi	Nindi
nxk	Kokak Naga
nxl	South Nuaulu
nxn	Ngawun
nxo	Ndambomo
nxq	Naxi
nxr	Ninggerum
nxx	Nafri
nya	Chichewa
nyb	Nyagbo
nyc	Nyanga-li
nyd	Olunyole
nye	Nyengo
nyf	Kigiryama
nyg	Nyindu
nyh	Nyikina
nyi	Ama
nyj	Nyanga
nyk	Nyaneka
nyl	Nyeu
nym	Nyamwezi
nyn	Nyankore
nyo	Nyoro
nyp	Nyang’i
nyq	Nayini
nyr	Malawi Nyiha
nys	Nyungar
nyt	Nyawaygi
nyu	Nyungwe
nyv	Nyulnyul
nyw	Nyaw
nyx	Nganyaywana
nyy	Nyakyusa-Ngonde
nza	Tigon Mbembe
nzb	Njebi
nzd	Nzadi
nzi	Nzema
nzk	Nzakara
nzm	Zeme Naga
nzr	Dir-Nyamzak-Mbarimi
nzs	New Zealand Sign Language
nzu	Teke-Nzikou
nzy	Nzakambay
nzz	Nanga Dama Dogon
oaa	Orok
oac	Oroch
obi	Obispeño
obk	Southern Bontok
obl	Oblo
obo	Obo Manobo
obu	Obulom
oca	Ocaina
oci	Occitan
ocu	Atzingo Matlatzinca
oda	Odut
odk	Oadki
odu	Odual
ofo	Ofo
ofu	Efutop
ogb	Ogbia
ogc	Ogbah
ogg	Ogbogolo
ogo	Khana
ogu	Ogbronuagum
oia	Oirata
oie	Okolie
oin	Inebu One
ojb	Northwestern Ojibwa
ojc	Central Ojibwa
ojg	Eastern Ojibwa
ojs	Oji-Cree
ojv	Ontong Java
ojw	Western Ojibwa
oka	Colville-Okanagan
okb	Okobo
okc	Kobo
okd	Okodia
oke	Okpe
okg	Koko Babangk
okh	Koresh-e Rostam
oki	Okiek
okj	Oko-Juwoi
okk	Kwamtim One
okl	Old Kentish Sign Language
okn	Oki-No-Erabu
okr	Kirike
oks	Oko-Eni-Osayen
oku	Oku
okv	Orokaiva
okx	Okpe
ola	Walungge
old	Mochi
ole	Olekha
olk	Olkol
olm	Oloma
olo	Livvi-Karelian
olr	Olrat
olu	Kuvale
oma	Omaha-Ponca
omb	East Ambae
omc	Mochica
omg	Omagua
omi	Omi
omk	Omok
oml	Ombo
omo	Utarmbung
omt	Omotik
omu	Omurano
omw	South Tairora
ona	Ona
onb	Lingao
one	Oneida
ong	Olo
oni	Onin
onj	Onjob
onk	Kabore One
onn	Onobasulu
ono	Onondaga
onp	Sartang
onr	Northern One
ons	Ono
ont	Ontenu
onu	Unua
onx	Onin Based Pidgin
ood	Tohono O’odham
oog	Ong
oon	Öñge
oor	Oorlams
opa	Okpamheri
opk	Kopkaka
opm	Oksapmin
opo	Opao
opt	Opata
opy	Ofayé
ora	Oroha
orc	Orma
ore	Maijuna
org	Oring
orh	Oroqen
orn	Orang Kanaq
oro	Orokolo
orr	Oruma
ors	Orang Seletar
ort	Adivasi Oriya
oru	Ormuri
orw	Oro Win
orx	Oro
ory	Odia
orz	Ormu
osa	Osage
osi	Osing
oso	Ososo
oss	Ossetic
ost	Osatu
osu	Southern One
otd	Ot Danum
ote	Mezquital Otomi
oti	Oti
otl	Tilapa Otomi
otm	Eastern Highland Otomi
otn	Tenango Otomi
otq	Querétaro Otomi
otr	Otoro
ots	Estado de México Otomí
ott	Temoaya Otomi
otu	Otuke
otw	Ottawa
otx	Texcatepec Otomi
otz	Ixtenco Otomi
oua	Tagargrent
oub	Glio-Oubi
oue	Oune
oum	Ouma
ovd	Övdalian
owi	Owiniga
oyb	Oy
oyd	Oyda
oym	Wayampi
oyy	Oya’oya
ozm	Koonzime
pab	Parecís
pac	Pacoh
pad	Paumarí
pae	Pagibete
paf	Paranawát
pag	Pangasinan
pah	Tenharim
pai	Pye
pak	Parakanã
pam	Kapampangan
pan	Eastern Punjabi
pao	Northern Paiute
pap	Papiamentu
paq	Parya
par	Timbisha
pas	Papasena
pau	Palauan
pav	Pakaásnovos
paw	Pawnee
pax	Pankararé
pay	Pech
paz	Pankararú
pbb	Nasa
pbc	Patamona
pbe	Mezontla Popoloca
pbf	Coyotepec Popoloca
pbg	Paraujano
pbh	E’ñapa Woromaipu
pbi	Parkwa
pbl	Mak
pbm	Puebla and Northeastern Mazatec
pbn	Kpasham
pbo	Papel
pbp	Badyara
pbr	Pangwa
pbs	Central Pame
pbt	Southern Pashto
pbu	Northern Pashto
pbv	Pnar
pby	Pyu
pca	Santa Inés Ahuatempan Popoloca
pcb	Pear
pcc	Giáy
pcd	Picard
pce	Ruching Palaung
pcf	Paliyan
pcg	Paniya
pch	Pardhan
pci	Duruwa
pcj	Parenga
pck	Paite Chin
pcl	Pardhi
pcm	Nigerian Pidgin
pcn	Abishi
pcp	Pacahuara
pcw	Piapung
pda	Anam
pdc	Pennsylvania German
pdi	Pa Di
pdn	Fedan
pdo	Padoe
pdu	Kayan
pea	Peranakan Indonesian
peb	Eastern Pomo
ped	Mala
pee	Taje
pef	Northeastern Pomo
peg	Pengo
peh	Bonan
pei	Chichimeco-Jonaz
pej	Northern Pomo
pek	Penchal
pel	Pekal
pem	Phende
pep	Kanja
peq	Southern Pomo
pes	Iranian Persian
pev	Pémono
pex	Petats
pey	Petjo
pez	Eastern Penan
pfa	Pááfang
pfe	Pere
pfl	Lorraine Franconian
pga	Juba Arabic
pgg	Pangwali
pgi	Pagi
pgk	Rerep
pgs	Pangseng
pgu	Pagu
pgz	Papua New Guinean Sign Language
pha	Pa-Hng
phd	Phudagi
phg	Phuong
phh	Phula
phj	Pahari
phk	Phake
phl	Palula
phm	Phimbi
pho	Phunoi
phq	Phana’
phr	Pahari-Potwari
pht	Phu Thai
phu	Phuan
phv	Pahlavani
phw	Phangduwali
pia	Pima Bajo
pib	Yine
pic	Pinji
pid	Piaroa
pie	Piro
pif	Pingelapese
pig	Pisabo
pih	Pitcairn-Norfolk
pij	Pijao
pil	Yom
pim	Powhatan
pin	Piame
pio	Piapoco
pip	Pero
pir	Piratapuyo
pis	Pijin
pit	Pitta Pitta
piu	Pintupi-Luritja
piv	Vaeakau-Taumako
piw	Pimbwe
pix	Piu
piy	Piya-Kwonci
piz	Pije
pjt	Pitjantjatjara
pkb	Kipfokomu
pkg	Pak-Tong
pkh	Pankhu
pkn	Pakanha
pko	Pökoot
pkp	Pukapuka
pkr	Attapady Kurumba
pks	Pakistan Sign Language
pkt	Maleng
pku	Paku
pla	Miani
plb	Atin
plc	Central Palawano
pld	Polari
ple	Palu’e
plg	Pilagá
plh	Paulohi
pli	Pali
plk	Kohistani Shina
pll	Shwe Palaung
pln	Palenquero
plo	Oluta Popoluca
plr	Palaka Sénoufo
pls	San Marcos Tlacoyalco Popoloca
plt	Merina Malagasy
plu	Palikúr
plv	Southwest Palawano
plw	Brooke’s Point Palawano
ply	Bolyu
plz	Paluan Murut
pma	Paama
pmb	Pambia
pmd	Pallanganmiddang
pme	Pwaamei
pmf	Pamona
pmi	Northern Pumi
pmj	Southern Pumi
pml	Lingua Franca
pmm	Pol
pmn	Pam
pmo	Pom
pmq	Northern Pame
pmr	Manat
pms	Piedmontese
pmt	Tuamotuan
pmw	Plains Miwok
pmx	Poumai Naga
pmy	Papuan Malay
pmz	Southern Pame
pna	Punan Bah-Biau
pnb	Western Punjabi
pnc	Pannei
pnd	Mpinda
pne	Western Penan
png	Pangu
pnh	Penrhyn
pni	Aoheng
pnj	Pinjarup
pnk	Paunaka
pnl	Paleni
pnm	Punan Batu
pnn	Pinai-Hagahai
pno	Panobo
pnp	Pancana
pnq	Pana
pnr	Panim
pns	Ponosakan
pnt	Pontic
pnu	Jiongnai Bunu
pnv	Pinigura
pnw	Banyjima
pnx	Phong-Kniang
pny	Pinyin
pnz	Pana
poc	Poqomam
poe	San Juan Atzingo Popoloca
pof	Poke
pog	Potiguára
poh	Poqomchi’
poi	Highland Popoluca
pok	Pokangá
pol	Polish
pom	Southeastern Pomo
pon	Pohnpeian
poo	Central Pomo
pop	Pwapwâ
poq	Texistepec Popoluca
por	Portuguese
pos	Sayula Popoluca
pot	Potawatomi
pov	Guinea-Bissau Creole
pow	San Felipe Otlaltepec Popoloca
pox	Polabian
poy	Pogolo
ppe	Baiyamo
ppi	Paipai
ppk	Uma
ppl	Nahuat
ppm	Papuma
ppn	Papapana
ppo	Folopa
ppp	Pelende
ppq	Pefiyahe
pps	San Luís Temalacayuca Popoloca
ppt	Pa
ppu	Papora-Hoanya
pqa	Pa’anci
pqm	Malecite-Passamaquoddy
prc	Parachi
prd	Parsi-Dari
pre	Principense
prf	Paranan
prg	Prussian
prh	Porohanon
pri	Paicî
prk	Parauk Wa
prl	Peruvian Sign Language
prm	Kibiri
prn	Prasuni
prq	Perené Ashéninka
prr	Puri
prs	Dari
prt	Prai
pru	Puragi
prw	Parawen
prx	Purig
prz	Providencia Sign Language
psa	Asue Awyu
psc	Iranian Sign Language
psd	Plains Indian Sign Language
pse	Central Malay
psg	Penang Sign Language
psh	Southwest Pashai
psi	Southeast Pashai
psl	Puerto Rican Sign Language
psm	Pauserna
psn	Panasuan
pso	Polish Sign Language
psp	Filipino Sign Language
psq	Pasi
psr	Portuguese Sign Language
pss	Kaulong
pst	Central Pashto
psw	Port Sandwich
psy	Piscataway
pta	Pai Tavytera
pth	Pataxó Hã-Ha-Hãe
pti	Pintiini
ptn	Patani
pto	Zo’é
ptp	Patep
ptq	Pattapu
ptr	Tapiafaru
ptt	Enrekang
ptu	Bambam
ptv	Port Vato
ptw	Pentlatch
pty	Pathiya
pua	Western Highland Purepecha
pub	Purum
puc	Punan Merap
pud	Punan Aput
pue	Puelche
puf	Punan Merah
pug	Phuie
pui	Puinave
puj	Punan Tubu
pum	Puma
puo	Puoc
pup	Pulabu
puq	Puquina
pur	Puruborá
put	Putoh
puu	Punu
puw	Puluwatese
pux	Puare
puy	Purisimeño
pwa	Pawaia
pwb	Panawa
pwg	Gapapaiwa
pwi	Patwin
pwm	Molbog
pwn	Paiwan
pwo	Pwo Western Karen
pwr	Powari
pww	Pwo Northern Karen
pxm	Quetzaltepec Mixe
pye	Pye Krumen
pym	Pyam
pyn	Poyanáwa
pys	Paraguayan Sign Language
pyu	Puyuma
pyy	Pyen
pze	Pesse
pzh	Pazeh
pzn	Jejara Naga
qua	Quapaw
qub	Huallaga Quechua
quc	K’iche’
qud	Calderón Highland Quichua
quf	Lambayeque Quechua
qug	Chimborazo Highland Quichua
quh	South Bolivian Quechua
qui	Quileute
quk	Chachapoyas Quechua
qul	North Bolivian Quechua
qum	Sipakapense
qun	Quinault
qup	Southern Pastaza Quechua
quq	Mercheros
qur	Chaupihuaranga Quechua
qus	Santiago del Estero Quichua
quv	Sakapulteko
quw	Tena Lowland Quichua
qux	Yauyos Quechua
quy	Ayacucho Quechua
quz	Cusco Quechua
qva	Ambo-Pasco Quechua
qvc	Cajamarca Quechua
qve	Eastern Apurímac Quechua
qvh	Huamalíes-Dos de Mayo Quechua
qvi	Imbabura Highland Quichua
qvj	Loja Highland Quichua
qvl	Cajatambo North Lima Quechua
qvm	Margos-Yarowilca-Lauricocha Quechua
qvn	North Junín Quechua
qvo	Napo Quichua
qvp	Pacaraos Quechua
qvs	San Martín Quechua
qvw	Huaylla Wanca Quechua
qvy	Queyu
qvz	Northern Pastaza Quichua
qwa	Corongo Ancash Quechua
qwh	Huaylas Ancash Quechua
qwm	Kuman
qws	Sihuas Ancash Quechua
qwt	Kwalhioqua-Tlatskanai
qxa	Chiquián Quechua
qxc	Chincha Quechua
qxh	Panao Quechua
qxl	Salasaca Highland Quichua
qxn	Northern Conchucos Quechua
qxo	Southern Conchucos Quechua
qxp	Puno Quechua
qxq	Kashkay
qxr	Cañar Highland Quichua
qxs	Southern Qiang
qxt	Santa Ana de Tusi Pasco Quechua
qxu	Arequipa-La Unión Quechua
qxw	Jauja Wanca Quechua
qyp	Quiripi
raa	Dungmali
rab	Chamling
rac	Rasawa
rad	Rade
raf	Western Mewahang
rag	Lulogooli
rah	Rabha
rai	Ramoaaina
rak	Tulu-Bohuai
ral	Ralte
ram	Canela
ran	Riantana
rao	Rao
rap	Rapa Nui
raq	Saam
rar	Cook Islands Maori
ras	Tegali
rat	Razajerdi
rau	Raute
rav	Sampang
raw	Rawang
rax	Rang
ray	Rapa
raz	Rahambuu
rbb	Rumai Palaung
rbk	Northern Bontok
rbl	Miraya Bikol
rbp	Barababaraba
rcf	Réunion French Creole
rdb	Rudbari
rea	Rerau
reb	Rembong
ree	Rejang Kayan
reg	Kara
rei	Reli
rej	Rejang
rel	Rendille
rem	Remo
ren	Rengao
rer	Rer Bare
res	Reshe
ret	Reta
rey	Reyesano
rga	Mores
rge	Romano-Greek
rgk	Rangkas
rgn	Romagnol
rgr	Resígaro
rgs	Southern Roglai
rgu	Rikou
rhg	Rohingya
rhp	Yahang
ria	Riang
rib	Bribri Sign Language
rif	Tarifit
ril	Riang Lang
rim	Nyaturu
rin	Nungu
rir	Ribun
rit	Ritharrngu
riu	Riung
rjg	Rajong
rji	Raji
rjs	Rajbanshi
rka	Kraol
rkb	Rikbaktsa
rkh	Rakahanga-Manihiki
rki	Rakhine
rkm	Marka
rkt	Kamtapuri
rkw	Arakwal
rma	Rama
rmb	Rembarrnga
rmc	Carpathian Romani
rmd	Traveller Danish
rme	Angloromani
rmf	Kalo Finnish Romani
rmg	Traveller Norwegian
rmh	Murkim
rmi	Lomavren
rmk	Romkun
rmm	Roma
rmn	Balkan Romani
rmo	Sinte Romani
rmp	Rempi
rmq	Caló
rms	Romanian Sign Language
rmt	Domari
rmu	Tavringer Romani
rmw	Welsh Romani
rmx	Romam
rmy	Vlax Romani
rmz	Marma
rnb	Brunca Sign Language
rnd	Ruund
rng	Ronga
rnl	Ranglong
rnn	Roon
rnp	Rongpo
rnr	Nari Nari
rnw	Rungwa
rob	Tae’
roc	Cacgia Roglai
rod	Rogo
roe	Uma
rof	Rombo
rog	Northern Roglai
roh	Romansh
rol	Romblomanon
ron	Romanian
roo	Rotokas
rop	Kriol
ror	Rongga
rou	Runga
row	Dela-Oenale
rpn	Repanbitip
rpt	Rapting
rri	Ririo
rrm	Moriori
rro	Waima
rrt	Arritinngithigh
rsb	Romano-Serbian
rsk	Ruthenian
rsl	Russian Sign Language
rsm	Miriwoong Sign Language
rsn	Rwandan Sign Language
rsw	Rishiwa
rtc	Rungtu Chin
rth	Ratahan
rtm	Rotuman
rts	Yurats
rtw	Rathawi
rub	Gungu
ruc	Ruruuli-Runyala
rue	Rusyn
ruf	Luguru
rug	Roviana
ruh	Ruga
rui	Rufiji
ruk	Kuce
run	Rundi
ruo	Istro Romanian
rup	Aromanian
ruq	Megleno Romanian
rus	Russian
rut	Rutul
ruu	Lanas Lobu
ruy	Mala
ruz	Ruma
rwa	Rawo
rwk	Rwa
rwl	Ruwila
rwm	Amba
rwo	Rawa
rwr	Marwari
rxd	Ngardi
rxw	Karuwali
ryn	Northern Amami-Oshima
rys	Yaeyama
ryu	Central Okinawan
rzh	Rāziḥī
saa	Saba
sab	Buglere
sac	Meskwaki
sad	Sandawe
sae	Sabanê
saf	Safaliba
sag	Sango
sah	Yakut
saj	Sahu
sak	Sake
sam	Samaritan Aramaic
san	Sanskrit
sao	Sause
saq	Samburu
sar	Saraveca
sas	Sasak
sat	Santhali
sau	Saleman
sav	Saafi-Saafi
saw	Sawi
sax	Sa
say	Saya
saz	Sourashtra
sba	Ngambay
sbb	Simbo
sbc	Kele
sbd	Southern Samo
sbe	Saliba
sbf	Shabo
sbg	Moi Lemas
sbh	Sori-Harengan
sbi	Seti
sbj	Surbakhal
sbk	Safwa
sbl	Botolan Sambal
sbm	Sagala
sbn	Sindhi Bhil
sbo	Sabüm
sbp	Sangu
sbq	Sirva
sbr	Sembakung Murut
sbs	Kuhane
sbt	Kimki
sbu	Stod Bhoti
sbw	Simba
sbx	Seberuang
sby	Soli
sbz	Sara Kaba
scb	Chut
sce	Dongxiang
scf	San Miguel French Creole
scg	Sanggau
sch	Sakachep
